Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
       175, 8/03/2016,10:14:15,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       176, 8/03/2016,10:14:16,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       177, 8/03/2016,10:14:17,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       178, 8/03/2016,10:14:18,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       179, 8/03/2016,10:14:19,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       180, 8/03/2016,10:14:20,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       181, 8/03/2016,10:14:21,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       182, 8/03/2016,10:14:22,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       183, 8/03/2016,10:14:23,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       184, 8/03/2016,10:14:24,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       185, 8/03/2016,10:14:25,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       186, 8/03/2016,10:14:26,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       187, 8/03/2016,10:14:27,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       188, 8/03/2016,10:14:28,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       189, 8/03/2016,10:14:29,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       190, 8/03/2016,10:14:30,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       191, 8/03/2016,10:14:31,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       192, 8/03/2016,10:14:32,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       193, 8/03/2016,10:14:33,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       194, 8/03/2016,10:14:34,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       195, 8/03/2016,10:14:35,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       196, 8/03/2016,10:14:36,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       197, 8/03/2016,10:14:37,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       198, 8/03/2016,10:14:38,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       199, 8/03/2016,10:14:39,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
